EAR_TAG,sampleDate,ExtractionID,QC_RTL,DOB,TEL_sampleNO,TL_Quartiles,CULL_DATE,Time_Months,Time_Years,Event,residRTL_plateRow,AGE_Y,Time1stSampleDeath
104192,22/02/2011,1185,1.091655495,17/02/2011,1,2,23/08/2014,42,3.5,1,0.069967143,0,1278
104206,22/03/2011,562,1.084562002,14/03/2011,1,2,NULL,91,8,0,0.140051169,0,3000
104213,22/03/2011,328,0.947963877,17/03/2011,1,1,NULL,91,8,0,-0.066164319,0,3000
104220,05/04/2011,784,1.132660717,31/03/2011,1,2,NULL,91,8,0,0.028473292,0,3000
104262,20/04/2011,1115,1.302749259,15/04/2011,1,4,NULL,91,8,0,0.13764975,0,3000
104290,30/05/2011,757,1.177938614,24/05/2011,1,3,NULL,91,8,0,-0.015888722,0,3000
104353,08/07/2011,850,1.321845124,03/07/2011,1,4,15/10/2015,51,4.27,1,0.206262313,0,1560
104402,16/08/2011,1370,1.378445305,04/08/2011,1,4,18/07/2012,11,0.92,1,0.2628158,0,337
104465,23/09/2011,1363,0.864816233,15/09/2011,1,1,21/11/2013,26,2.16,1,-0.168527405,0,790
104675,01/03/2012,614,0.874939528,22/02/2012,1,1,14/08/2014,29,2.45,1,-0.032894681,0,896
104717,16/05/2012,165,1.381319408,11/05/2012,1,4,14/07/2014,26,2.16,1,0.098031968,0,789
104752,01/03/2012,889,1.071373497,24/02/2012,1,2,21/11/2013,21,1.73,1,-0.002779038,0,630
104843,10/07/2012,216,1.183001656,04/07/2012,1,3,15/11/2013,16,1.35,1,0.134997651,0,493
104997,15/10/2012,815,1.344632301,06/10/2012,1,4,02/04/2015,29,2.46,1,0.069838765,0,899
105158,13/02/2013,717,1.479905169,12/02/2013,1,4,08/01/2014,11,0.9,1,0.297490752,0,329
203080,20/10/2008,459,0.986416193,16/10/2008,1,1,25/04/2014,66,5.52,1,-0.026527292,0,2013
203087,03/11/2008,1059,1.342424993,29/10/2008,1,4,NULL,91,8,0,0.026720167,0,3000
203206,12/01/2009,1302,0.973016167,02/01/2009,1,1,23/02/2012,37,3.12,1,-0.09682999,0,1137
203234,09/02/2009,1135,1.333481872,08/02/2009,1,4,15/04/2016,86,7.18,1,0.156542074,0,2622
203241,20/02/2009,946,1.305019533,12/02/2009,1,4,NULL,91,8,0,0.207657736,0,3000
203283,09/04/2009,820,1.223946676,05/04/2009,1,3,NULL,91,8,0,0.075613455,0,3000
203290,21/04/2009,922,0.999222393,14/04/2009,1,1,24/01/2013,45,3.76,1,-0.034363287,0,1374
203381,08/05/2009,900,1.130947635,05/05/2009,1,2,05/01/2013,44,3.67,1,0.065646084,0,1338
203395,01/06/2009,1087,1.726690329,28/05/2009,1,4,09/06/2011,24,2.02,1,0.284807389,0,738
203402,08/06/2009,160,1.053348267,04/06/2009,1,2,25/04/2014,58,4.88,1,0.050529467,0,1782
203423,29/06/2009,727,1.132904938,24/06/2009,1,2,13/04/2011,21,1.79,1,0.026484808,0,653
203430,13/07/2009,725,1.128716696,04/07/2009,1,2,NULL,91,8,0,0.00695986,0,3000
203437,16/07/2009,809,0.941479199,14/07/2009,1,1,06/08/2015,73,6.06,1,0.021538364,0,2212
203514,31/08/2009,1193,1.349067335,25/08/2009,1,4,01/05/2015,68,5.67,1,0.161929425,0,2069
203521,10/09/2009,987,1.489805615,01/09/2009,1,4,30/09/2011,25,2.05,1,0.229034176,0,750
203535,01/10/2009,765,1.005737376,28/09/2009,1,1,15/03/2015,65,5.45,1,-0.063350102,0,1991
203549,06/11/2009,640,1.227149686,25/10/2009,1,3,20/04/2014,53,4.45,1,0.07516816,0,1626
203584,17/11/2009,1004,1.234084819,14/11/2009,1,3,03/11/2014,59,4.96,1,0.059540763,0,1812
203605,09/11/2009,1369,1.276423564,04/11/2009,1,3,19/12/2011,25,2.11,1,0.223431154,0,770
203661,23/12/2009,1065,1.621826073,19/12/2009,1,4,13/09/2013,45,3.73,1,0.21520743,0,1360
203668,08/01/2010,305,1.262667601,31/12/2009,1,3,NULL,91,8,0,0.162250454,0,3000
203689,18/01/2010,1402,1.195866879,16/01/2010,1,3,NULL,91,8,0,0.07152117,0,3000
203745,26/02/2010,431,0.953721951,21/02/2010,1,1,14/06/2013,39,3.3,1,-0.061911271,0,1204
203759,15/03/2010,675,1.210823003,11/03/2010,1,3,02/04/2015,60,5.05,1,0.1628481,0,1844
203801,08/04/2010,195,0.926345015,05/04/2010,1,1,16/07/2012,27,2.27,1,-0.026920907,0,830
203864,28/06/2010,120,1.065336458,22/06/2010,1,2,NULL,91,8,0,0.072240412,0,3000
203892,02/08/2010,929,0.989939175,27/07/2010,1,1,06/06/2013,34,2.85,1,0.000312515,0,1039
203899,05/08/2010,983,0.800210358,31/07/2010,1,1,14/01/2014,41,3.45,1,-0.012314518,0,1258
203969,17/08/2010,1148,1.142658971,15/08/2010,1,2,11/08/2015,60,4.99,1,0.181095396,0,1820
203990,21/09/2010,549,1.172233363,17/09/2010,1,3,22/04/2013,31,2.59,1,0.161809706,0,944
204032,15/10/2010,1104,1.239390357,12/10/2010,1,3,NULL,91,8,0,0.099287271,0,3000
204039,29/10/2010,1021,1.331202099,24/10/2010,1,4,NULL,91,8,0,0.255441238,0,3000
204046,05/11/2010,264,1.215535595,29/10/2010,1,3,16/11/2014,48,4.03,1,0.153554872,0,1472
204074,10/12/2010,1194,1.024741157,07/12/2010,1,2,04/11/2015,59,4.9,1,0.062893644,0,1790
204193,22/02/2011,891,1.213365753,17/02/2011,1,3,05/05/2016,62,5.2,1,0.142041377,0,1899
204207,22/03/2011,309,1.285254885,15/03/2011,1,4,NULL,91,8,0,0.199768757,0,3000
204221,05/04/2011,970,1.022652547,31/03/2011,1,1,NULL,91,8,0,-0.077590115,0,3000
204263,20/04/2011,402,1.007386956,16/04/2011,1,1,01/11/2013,30,2.54,1,-0.053980171,0,926
204333,13/06/2011,975,0.934248916,02/06/2011,1,1,06/06/2013,24,1.98,1,-0.076731703,0,724
204347,27/06/2011,396,1.023888853,24/06/2011,1,2,NULL,91,8,0,0.107252706,0,3000
204354,08/07/2011,1061,1.321960298,03/07/2011,1,4,NULL,91,8,0,0.059136474,0,3000
204578,06/12/2011,93,0.827725116,01/12/2011,1,1,21/11/2013,23,1.96,1,-0.095805327,0,716
204676,12/03/2012,398,1.209502563,03/03/2012,1,3,21/11/2013,20,1.7,1,0.106468921,0,619
204683,16/03/2012,730,0.944725647,13/03/2012,1,1,08/04/2015,37,3.06,1,-0.017577445,0,1118
204697,13/04/2012,501,1.264390932,12/04/2012,1,3,NULL,91,8,0,0.182456442,0,3000
204830,27/06/2012,533,1.148149658,23/06/2012,1,2,NULL,91,8,0,-0.029074102,0,3000
204858,06/08/2012,1390,0.948326917,26/07/2012,1,1,14/08/2014,24,2.02,1,0.045268365,0,738
303060,15/09/2008,1051,1.369805198,11/09/2008,1,4,02/08/2012,46,3.88,1,0.13315194,0,1417
303095,26/11/2008,330,1.223013537,12/11/2008,1,3,03/05/2013,53,4.44,1,0.123133838,0,1619
303151,28/11/2008,287,1.157993931,22/11/2008,1,3,17/07/2014,67,5.64,1,-0.019679779,0,2057
303221,23/01/2009,435,1.248754115,21/01/2009,1,3,04/11/2014,69,5.78,1,0.291786681,0,2111
303235,09/02/2009,993,1.013221,08/02/2009,1,1,20/11/2015,81,6.78,1,0.06373578,0,2475
303249,22/02/2009,962,1.236270903,17/02/2009,1,3,27/05/2012,39,3.26,1,0.210545265,0,1190
303256,22/02/2009,1387,0.895299817,20/02/2009,1,1,NULL,91,8,0,-0.058038178,0,3000
303263,03/03/2009,374,1.009208654,26/02/2009,1,1,04/11/2014,68,5.68,1,-0.043545783,0,2072
303277,02/04/2009,162,0.953286677,26/03/2009,1,1,09/06/2011,26,2.19,1,-0.001396996,0,798
303291,21/04/2009,747,1.384044907,14/04/2009,1,4,08/04/2015,71,5.97,1,0.300352654,0,2178
303417,17/06/2009,401,1.056342848,15/06/2009,1,2,16/07/2012,37,3.08,1,0.08392961,0,1125
303424,29/06/2009,127,1.31329169,24/06/2009,1,4,25/04/2014,58,4.82,1,0.24987081,0,1761
303508,19/08/2009,242,1.160745949,14/08/2009,1,3,25/04/2014,56,4.68,1,0.075709498,0,1710
303508,19/08/2009,242,1.160745949,14/08/2009,1,3,25/04/2014,56,4.68,1,0.189895013,0,1710
303508,19/08/2009,434,1.470784061,14/08/2009,1,4,25/04/2014,56,4.68,1,0.075709498,0,1710
303508,19/08/2009,434,1.470784061,14/08/2009,1,4,25/04/2014,56,4.68,1,0.189895013,0,1710
303522,10/09/2009,452,1.058765875,02/09/2009,1,2,NULL,91,8,0,0.098032814,0,3000
303543,18/10/2009,448,1.313270657,12/10/2009,1,4,29/08/2013,46,3.87,1,0.187497798,0,1411
303662,23/12/2009,1069,1.618960424,19/12/2009,1,4,10/01/2014,48,4.05,1,0.055390155,0,1479
303669,08/01/2010,1122,1.531529306,03/01/2010,1,4,06/08/2015,67,5.58,1,0.210833108,0,2036
303683,18/01/2010,1154,1.079627146,12/01/2010,1,2,NULL,91,8,0,0.146748733,0,3000
303732,10/02/2010,586,1.032470293,06/02/2010,1,2,NULL,91,8,0,0.057326277,0,3000
303746,26/02/2010,1326,1.222456885,22/02/2010,1,3,07/07/2014,52,4.36,1,0.062200529,0,1592
303753,08/03/2010,208,0.964747484,03/03/2010,1,1,04/04/2013,37,3.08,1,-0.02230554,0,1123
303767,02/04/2010,581,0.944815532,29/03/2010,1,1,03/11/2015,67,5.59,1,-0.004709294,0,2041
303816,06/05/2010,348,0.946396903,29/04/2010,1,1,NULL,91,8,0,0.041819377,0,3000
303837,24/05/2010,800,1.2170333,20/05/2010,1,3,NULL,91,8,0,0.137056611,0,3000
303844,01/06/2010,1056,0.944382992,25/05/2010,1,1,NULL,91,8,0,-0.113375183,0,3000
303851,04/06/2010,441,1.326467989,28/05/2010,1,4,NULL,91,8,0,0.113183716,0,3000
303872,09/07/2010,1404,0.929129122,06/07/2010,1,1,NULL,91,8,0,0.030042829,0,3000
303893,02/08/2010,1340,1.091437895,27/07/2010,1,2,NULL,91,8,0,0.100058017,0,3000
303928,17/08/2010,551,0.792008333,16/08/2010,1,1,NULL,91,8,0,-0.095044293,0,3000
303991,21/09/2010,613,0.853709134,19/09/2010,1,1,15/04/2016,67,5.57,1,-0.062203637,0,2033
304040,29/10/2010,1055,1.132054774,24/10/2010,1,2,20/01/2016,63,5.23,1,-0.033436563,0,1909
304054,12/11/2010,645,1.225508123,04/11/2010,1,3,01/05/2013,30,2.47,1,0.072716689,0,901
304208,22/03/2011,467,1.033782237,15/03/2011,1,2,16/05/2014,38,3.15,1,-0.076084052,0,1151
304257,20/04/2011,650,0.978194415,12/04/2011,1,1,NULL,91,8,0,-0.139740128,0,3000
304264,20/04/2011,315,1.236645234,16/04/2011,1,3,NULL,91,8,0,0.14430244,0,3000
304271,27/04/2011,457,1.014141568,20/04/2011,1,1,01/06/2014,37,3.1,1,-0.031832158,0,1131
304278,05/05/2011,834,1.136798675,30/04/2011,1,2,NULL,91,8,0,0.074892854,0,3000
304285,17/05/2011,884,1.28246446,11/05/2011,1,4,15/11/2013,30,2.5,1,0.06521523,0,913
304348,08/07/2011,523,1.25504189,27/06/2011,1,3,14/10/2013,27,2.27,1,0.026496543,0,829
304355,15/07/2011,465,1.025149133,08/07/2011,1,2,08/01/2015,42,3.49,1,0.041169475,0,1273
304404,16/08/2011,345,1.169473143,09/08/2011,1,3,03/11/2014,39,3.22,1,0.11142403,0,1175
304418,29/08/2011,1282,1.273126801,27/08/2011,1,3,04/11/2014,38,3.19,1,0.195122291,0,1163
304544,29/11/2011,864,1.028322388,25/11/2011,1,2,21/11/2013,24,1.98,1,-0.011507162,0,723
304593,05/01/2012,381,1.147419537,25/12/2011,1,2,18/04/2014,27,2.28,1,0.149591411,0,834
304614,16/01/2012,621,1.152667533,13/01/2012,1,2,14/08/2014,31,2.58,1,0.17175571,0,941
304712,07/05/2012,90,1.198036958,30/04/2012,1,3,14/08/2014,27,2.27,1,0.077701882,0,829
304838,05/07/2012,143,1.07938761,02/07/2012,1,2,15/11/2013,16,1.36,1,0.077604754,0,498
304901,21/08/2012,145,0.903226699,13/08/2012,1,1,14/08/2014,24,1.98,1,0.058112701,0,723
304950,21/01/2013,1392,1.241037025,11/01/2013,1,3,09/07/2014,18,1.46,1,0.098890664,0,534
304992,05/10/2012,1095,0.979070479,03/10/2012,1,1,21/10/2013,12,1.04,1,0.031317437,0,381
305643,07/04/2014,824,1.227622339,29/03/2014,1,3,15/04/2014,0,0.02,1,0.029674904,0,8
403061,15/09/2008,288,1.102106665,12/09/2008,1,2,26/04/2011,31,2.61,1,0.001874944,0,953
403173,12/01/2009,499,1.110497921,31/12/2008,1,2,04/10/2012,45,3.73,1,-0.000754515,0,1361
403215,23/01/2009,1091,1.411677356,14/01/2009,1,4,15/11/2013,58,4.81,1,0.208631044,0,1757
403264,10/03/2009,1372,1.152205387,03/03/2009,1,2,27/06/2014,63,5.3,1,0.119830518,0,1935
403376,04/05/2009,166,1.087288455,01/05/2009,1,2,NULL,91,8,0,0.033606586,0,3000
403383,19/05/2009,422,1.185931564,10/05/2009,1,3,09/06/2011,25,2.06,1,0.188894868,0,751
403425,29/06/2009,879,1.09493634,27/06/2009,1,2,NULL,91,8,0,0.005117758,0,3000
403432,16/07/2009,1117,1.082814048,08/07/2009,1,2,NULL,91,8,0,0.026870627,0,3000
403516,31/08/2009,1100,1.441392266,25/08/2009,1,4,11/08/2015,71,5.95,1,0.11844315,0,2171
403523,10/09/2009,1399,0.990310312,04/09/2009,1,1,10/07/2014,58,4.83,1,-0.070409691,0,1764
403537,14/10/2009,626,1.392431311,05/10/2009,1,4,10/07/2014,57,4.74,1,0.214241828,0,1730
403593,03/12/2009,812,1.221217462,29/11/2009,1,3,NULL,91,8,0,0.010164299,0,3000
403656,14/12/2009,1311,1.201862149,09/12/2009,1,3,NULL,91,8,0,0.15312108,0,3000
403677,13/01/2010,1132,1.035052859,09/01/2010,1,2,NULL,91,8,0,-0.074131156,0,3000
403733,10/02/2010,1406,1.30541604,07/02/2010,1,4,03/04/2014,50,4.15,1,0.041097558,0,1513
403740,16/02/2010,543,0.978758123,13/02/2010,1,1,25/04/2014,50,4.19,1,0.121567746,0,1529
403803,13/04/2010,248,1.229112281,07/04/2010,1,3,NULL,91,8,0,0.089306822,0,3000
403831,19/05/2010,382,1.170811094,12/05/2010,1,3,20/01/2016,68,5.68,1,0.107950366,0,2072
403866,02/07/2010,917,1.056217922,27/06/2010,1,2,25/11/2014,53,4.4,1,0.058701821,0,1607
403887,28/07/2010,259,1.070926249,22/07/2010,1,2,NULL,91,8,0,0.028234302,0,3000
403894,02/08/2010,711,0.926899342,27/07/2010,1,1,NULL,91,8,0,-0.098950833,0,3000
403929,25/08/2010,215,1.173360518,19/08/2010,1,3,25/04/2014,44,3.67,1,0.19467177,0,1339
403936,07/09/2010,615,1.239933172,31/08/2010,1,3,NULL,91,8,0,0.254855572,0,3000
403943,07/09/2010,373,1.210204947,03/09/2010,1,3,NULL,91,8,0,0.020103234,0,3000
403978,17/09/2010,176,1.001171358,09/09/2010,1,1,NULL,91,8,0,0.091624296,0,3000
404055,12/11/2010,585,1.288284377,05/11/2010,1,4,14/08/2014,45,3.76,1,0.023486376,0,1371
404069,02/12/2010,490,1.437753655,25/11/2010,1,4,NULL,91,8,0,0.185303239,0,3000
404111,17/12/2010,1060,1.337913613,13/12/2010,1,4,03/11/2015,58,4.88,1,0.073005933,0,1782
404125,06/01/2011,450,1.105599727,03/01/2011,1,2,04/04/2013,27,2.24,1,0.002780035,0,819
404132,21/01/2011,826,1.119655953,07/01/2011,1,2,01/05/2015,51,4.28,1,0.045492212,0,1561
404188,22/02/2011,799,1.141678924,14/02/2011,1,2,NULL,91,8,0,0.167827387,0,3000
404216,05/04/2011,462,1.195971096,24/03/2011,1,3,NULL,91,8,0,0.031011388,0,3000
404251,12/04/2011,972,1.402469836,07/04/2011,1,4,24/01/2013,21,1.79,1,0.148865358,0,653
404265,20/04/2011,1255,0.948316216,17/04/2011,1,1,24/01/2013,21,1.77,1,-0.046774544,0,645
404356,15/07/2011,830,1.363653156,09/07/2011,1,4,NULL,91,8,0,0.045855121,0,3000
404370,01/08/2011,610,1.022213296,20/07/2011,1,1,NULL,91,8,0,0.013510224,0,3000
404405,16/08/2011,696,1.21184592,10/08/2011,1,3,NULL,91,8,0,0.152126253,0,3000
404461,16/09/2011,968,1.101262076,10/09/2011,1,2,25/04/2014,31,2.61,1,0.096010751,0,952
404587,20/12/2011,389,0.860032874,16/12/2011,1,1,16/02/2015,38,3.16,1,-0.079009873,0,1154
404811,07/06/2012,525,0.920744233,04/06/2012,1,1,07/03/2014,21,1.75,1,0.002576499,0,638
404860,03/08/2012,355,0.968843191,27/07/2012,1,1,04/11/2014,27,2.25,1,-0.060066251,0,823
404909,21/08/2012,738,1.335010219,20/08/2012,1,4,08/04/2015,31,2.63,1,0.199970278,0,960
503062,18/09/2008,557,0.963757869,14/09/2008,1,1,31/10/2011,37,3.12,1,-0.035357615,0,1138
503167,22/12/2008,872,1.255660592,19/12/2008,1,3,26/05/2011,29,2.42,1,0.162639307,0,885
503202,12/01/2009,649,0.869789269,02/01/2009,1,1,30/08/2013,55,4.63,1,-0.167453297,0,1691
503223,26/01/2009,1259,1.543991614,22/01/2009,1,4,16/05/2014,63,5.3,1,0.262162013,0,1936
503230,09/02/2009,418,1.276800447,03/02/2009,1,3,NULL,91,8,0,0.09137707,0,3000
503244,20/02/2009,342,1.182858439,15/02/2009,1,3,17/07/2014,65,5.41,1,0.029319438,0,1973
503258,22/02/2009,312,1.166507808,22/02/2009,1,3,08/01/2015,70,5.88,1,0.145535362,0,2146
503286,14/04/2009,721,1.290537155,11/04/2009,1,4,17/03/2015,71,5.93,1,0.165213233,0,2163
503440,23/07/2009,1323,1.113416729,18/07/2009,1,2,31/08/2015,73,6.11,1,0.205852426,0,2230
503503,19/08/2009,172,1.116154842,07/08/2009,1,2,NULL,91,8,0,0.008853553,0,3000
503517,31/08/2009,118,1.080045625,27/08/2009,1,2,NULL,91,8,0,0.038687019,0,3000
503531,28/09/2009,605,1.626252498,25/09/2009,1,4,03/12/2013,50,4.18,1,0.297093315,0,1527
503594,08/12/2009,1273,1.050576603,03/12/2009,1,2,19/02/2015,62,5.2,1,-0.010529837,0,1899
503657,14/12/2009,714,1.202255999,09/12/2009,1,3,24/05/2014,53,4.44,1,0.139198986,0,1622
503678,13/01/2010,1052,1.390270832,10/01/2010,1,4,01/05/2015,63,5.3,1,0.121756752,0,1934
503699,01/02/2010,587,0.975483955,26/01/2010,1,1,26/04/2014,51,4.23,1,0.03598243,0,1545
503741,26/02/2010,1400,0.832427776,16/02/2010,1,1,17/07/2014,53,4.39,1,-0.115441027,0,1602
503769,05/04/2010,1414,1.181250541,31/03/2010,1,3,11/06/2012,26,2.19,1,0.12149764,0,798
503811,29/04/2010,1226,1.034858829,25/04/2010,1,2,10/01/2014,44,3.7,1,0.082982791,0,1352
503853,04/06/2010,867,1.007286624,30/05/2010,1,1,06/06/2014,48,4.01,1,0.091463954,0,1463
503867,02/07/2010,669,1.044726417,29/06/2010,1,2,NULL,91,8,0,-0.027530401,0,3000
503895,02/08/2010,508,1.053290674,27/07/2010,1,2,25/07/2013,36,2.98,1,0.104346979,0,1088
503951,05/08/2010,635,0.941839909,02/08/2010,1,1,06/08/2015,60,5.01,1,-0.023709082,0,1827
504042,29/10/2010,604,1.233789656,26/10/2010,1,3,05/05/2016,66,5.52,1,0.151692064,0,2015
504063,22/11/2010,463,1.267203829,17/11/2010,1,3,NULL,91,8,0,0.120881042,0,3000
504126,06/01/2011,1333,1.011026415,04/01/2011,1,1,NULL,91,8,0,0.03642218,0,3000
504133,21/01/2011,227,1.013855677,08/01/2011,1,1,06/08/2015,54,4.54,1,-0.032620794,0,1658
504196,04/03/2011,1374,0.929998569,21/02/2011,1,1,06/09/2013,30,2.51,1,0.005283412,0,917
504217,05/04/2011,221,1.346289962,25/03/2011,1,4,NULL,91,8,0,0.18815347,0,3000
504273,27/04/2011,554,1.161780314,22/04/2011,1,3,06/08/2015,51,4.28,1,0.166622764,0,1562
504343,27/06/2011,677,1.142907619,19/06/2011,1,2,09/10/2015,51,4.29,1,0.100732002,0,1565
504364,21/07/2011,425,1.099211604,16/07/2011,1,2,NULL,91,8,0,0.062022048,0,3000
504406,16/08/2011,729,1.02333748,10/08/2011,1,2,29/06/2016,58,4.87,1,-0.092806388,0,1779
504693,13/04/2012,692,1.069555913,30/03/2012,1,2,14/08/2014,28,2.34,1,0.038103166,0,853
504847,10/07/2012,360,0.899926157,08/07/2012,1,1,15/11/2013,16,1.35,1,-0.065726914,0,493
504931,10/09/2012,116,1.226397094,08/09/2012,1,3,14/08/2014,23,1.93,1,0.045662472,0,703
504938,19/09/2012,631,1.358868393,12/09/2012,1,4,01/05/2015,31,2.61,1,0.158321714,0,954
504980,27/09/2012,455,1.126438357,18/09/2012,1,2,08/04/2015,30,2.53,1,-0.034497781,0,923
505435,28/10/2013,1080,1.610033656,15/10/2013,1,4,15/07/2014,9,0.71,1,0.224299404,0,260
505589,03/01/2014,565,0.912942799,30/12/2013,1,1,28/10/2014,10,0.82,1,-0.104294232,0,298
603077,16/10/2008,475,0.969889226,13/10/2008,1,1,05/11/2015,84,7.06,1,-0.041721255,0,2576
603084,28/10/2008,122,1.15184998,25/10/2008,1,2,NULL,91,8,0,-0.051594987,0,3000
603161,16/12/2008,598,1.556167693,11/12/2008,1,4,16/11/2012,47,3.92,1,0.288800339,0,1431
603168,22/12/2008,445,1.299007389,21/12/2008,1,4,25/03/2015,75,6.26,1,0.109399681,0,2284
603252,22/02/2009,1097,0.878305027,18/02/2009,1,1,09/11/2014,68,5.72,1,-0.029020874,0,2086
603399,08/06/2009,487,1.175248497,01/06/2009,1,3,NULL,91,8,0,-0.026719953,0,3000
603406,08/06/2009,1170,1.230753891,05/06/2009,1,3,16/07/2012,37,3.11,1,0.046946858,0,1134
603434,16/07/2009,407,1.265875756,11/07/2009,1,3,05/07/2011,24,1.97,1,0.128701579,0,719
603595,08/12/2009,984,1.114463187,03/12/2009,1,2,13/11/2015,71,5.93,1,-3.97E-05,0,2166
603623,03/12/2009,1149,1.456550231,29/11/2009,1,4,19/12/2011,24,2.04,1,0.188443951,0,746
603679,13/01/2010,484,1.084128481,10/01/2010,1,2,20/11/2015,70,5.85,1,-0.019471583,0,2137
603686,18/01/2010,266,1.314931542,13/01/2010,1,4,04/04/2013,38,3.21,1,0.253649283,0,1172
603826,14/05/2010,1011,1.161224731,10/05/2010,1,3,14/08/2014,51,4.25,1,0.021235431,0,1553
603840,27/05/2010,1067,1.581938328,23/05/2010,1,4,06/06/2013,36,3.03,1,0.224192983,0,1106
603861,22/06/2010,1112,1.157612683,16/06/2010,1,3,22/12/2015,66,5.5,1,0.02949745,0,2009
603868,09/07/2010,945,1.133440499,04/07/2010,1,2,NULL,91,8,0,-0.018711665,0,3000
603924,17/08/2010,419,1.138299075,13/08/2010,1,2,08/01/2015,53,4.4,1,0.121789462,0,1605
603938,07/09/2010,1101,1.010395823,01/09/2010,1,1,NULL,91,8,0,0.033776366,0,3000
603945,07/09/2010,105,0.952300171,04/09/2010,1,1,NULL,91,8,0,-0.008362197,0,3000
603966,17/08/2010,1156,0.934171011,10/08/2010,1,1,18/08/2015,60,5.01,1,-0.056511224,0,1827
603994,04/10/2010,504,0.95326181,24/09/2010,1,1,04/04/2013,30,2.5,1,0.139944954,0,913
604050,05/11/2010,460,0.952274273,31/10/2010,1,1,NULL,91,8,0,0.01668903,0,3000
604057,12/11/2010,260,1.072771305,07/11/2010,1,2,10/01/2014,38,3.16,1,0.041887561,0,1155
604190,22/02/2011,1048,1.169438137,16/02/2011,1,3,NULL,91,8,0,0.010246326,0,3000
604197,04/03/2011,109,1.157323489,22/02/2011,1,3,NULL,91,8,0,0.00739644,0,3000
